id,timestamp
372,34
373,33
374,34
375,10
376,18
377,31
378,15
379,38
380,67
386,32
387,36
388,13
389,9
390,12
392,43
393,10
394,42
395,64
396,12
397,33
398,20
399,68
400,35
401,71
403,25
404,74
405,31
406,12
407,71
408,72
409,62
411,45
412,49
413,65
414,31
415,29
416,65
418,16
419,12
420,71
421,25
422,34
423,16
424,71
425,12
426,70
427,61
428,72
429,70
430,30
431,18
432,14
433,31
434,36
435,12
436,74
437,20
438,74
439,75
440,63
441,39
442,74
443,70
444,90
445,30
447,94
449,39
450,27
451,33
452,52
453,73
454,76
455,15
456,12
457,33
458,72
459,35
461,123
462,54
463,39
465,39
466,36
467,34
468,40
469,34
470,39
471,39
472,10
473,38
474,11
475,59
476,78
477,37
478,39
479,37
480,49
481,36
482,33
483,34
484,34
485,34
486,34
487,34
488,33
489,16
490,36
491,37
492,49
493,33
494,25
495,37
496,10
497,38
498,34
499,10
500,34
501,11
502,10
504,27
505,21
506,12
507,83
508,13
509,13
510,34
511,13
512,62
513,41
514,10
515,11
516,13
517,25
518,14
519,28
520,33
521,27
522,29
523,26
525,50
529,8
532,26
533,26
534,26
535,26
536,29
537,10
538,28
539,31
540,9
541,26
542,29
543,10
544,29
545,26
546,8
549,26
550,10
551,10
552,29
553,15
554,12
556,29
557,9
558,26
559,35
560,29
561,10
563,26
564,34
565,21
566,10
567,26
568,14
569,35
570,29
571,32
572,35
573,12
574,8
576,12
577,26
578,20
579,21
580,29
581,40
583,34
584,12
585,10
586,26
588,12
589,9
590,43
591,25
592,13
593,32
594,9
595,34
596,10
597,25
598,9
599,15
600,25
601,43
602,26
603,9
604,25
606,30
607,24
608,32
609,26
610,21
611,28
612,31
613,28
615,26
616,30
617,25
619,26
620,33
621,29
623,28
624,17
625,13
626,29
627,10
628,34
629,29
630,13
631,30
632,26
633,9
634,34
635,22
636,13
637,26
638,33
640,10
641,30
642,9
644,26
645,26
646,9
647,26
649,33
650,26
651,27
652,26
653,33
654,14
655,36
657,12
658,14
660,28
662,11
663,25
664,10
665,8
667,28
668,23
669,9
670,8
671,27
672,26
673,34
674,9
675,21
676,10
677,25
678,8
679,9
680,8
681,9
682,26
683,17
684,23
685,11
686,12
688,29
690,27
692,9
693,30
694,26
695,73
696,75
697,36
698,74
699,76
700,65
702,13
703,54
705,19
707,71
708,37
709,63
710,13
712,30
713,26
714,33
715,10
716,24
717,26
718,26
720,29
721,34
723,8
724,26
725,12
726,22
728,12
729,16
730,31
731,30
732,29
733,9
734,11
735,9
736,26
737,31
738,29
739,26
740,9
741,26
742,12
743,25
744,26
746,12
747,12
748,29
749,30
750,8
751,28
753,26
754,26
755,29
756,34
757,31
758,29
759,10
760,8
761,9
762,30
763,13
764,28
765,11
766,23
767,25
768,26
769,9
770,34
771,30
772,13
773,30
774,32
775,26
776,29
777,10
778,24
779,11
780,9
781,30
782,29
783,31
784,31
785,9
786,25
787,25
788,26
789,32
790,11
791,12
792,28
793,10
794,15
795,26
796,29
797,30
798,27
799,10
801,14
802,26
804,29
805,25
806,9
807,11
808,12
809,22
810,12
811,21
812,8
813,9
814,10
815,26
816,26
817,29
818,30
819,26
820,26
821,8
822,12
823,29
824,8
825,26
826,26
827,26
828,10
830,10
831,9
832,31
833,39
834,9
836,22
837,29
838,27
839,30
840,9
842,29
843,22
845,26
846,26
847,35
849,25
850,30
851,27
854,12
855,34
856,35
857,30
859,29
860,27
861,10
863,26
864,26
865,9
866,27
867,9
868,26
869,25
870,20
871,26
872,34
873,28
875,8
876,33
877,11
878,27
880,22
881,25
882,26
883,10
884,29
885,34
886,26
887,28
888,10
889,34
891,21
892,25
893,33
894,26
895,29
896,34
897,31
898,22
899,29
900,9
901,25
902,26
903,35
904,20
906,27
907,29
908,27
909,24
911,29
912,10
913,20
915,29
916,27
917,20
918,17
919,49
920,10
921,29
922,29
923,9
924,27
925,8
927,40
928,10
929,9
930,29
931,27
932,26
933,9
934,41
935,27
936,9
937,26
938,8
939,26
940,29
941,17
942,12
943,26
944,28
945,17
946,26
947,26
948,28
949,31
950,26
951,29
952,31
953,10
954,25
955,26
956,26
957,25
958,8
959,9
960,26
961,39
962,32
963,31
965,26
966,40
967,33
968,14
969,40
970,38
971,38
973,36
974,38
975,37
976,33
977,38
978,51
979,34
980,26
982,34
983,36
984,37
985,36
986,37
987,33
990,34
991,38
992,69
993,40
994,36
995,11
996,33
998,85
999,31
1000,39
1001,14
1002,11
1003,14
1005,14
1006,30
1007,33
1008,10
1009,38
1011,34
1012,33
1013,39
1014,35
1016,16
1017,33
1018,33
1019,19
1020,34
1021,47
